model,target,location_case,data_path,target_transform,n_features,train_rmse_norm,train_r2_norm,test_rmse_norm,test_r2_norm,train_rmse_original,train_r2_original,test_rmse_original,test_r2_original,used_columns,drop_outliers,outlier_quantile,n_samples
mlp,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,28,0.0201054292238281,0.2845735764230649,0.0087794932514848,0.4801627098206804,534603.3628964433,0.284573576865074,233446.7282668448,0.4801626977520781,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|city|age|log_sqft_lot|zipcode|city_freq|zipcode_freq|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,,,
dt,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0158048126436198,0.557903596495794,0.0082205121027929,0.5442504195056064,420249.9681938523,0.5579035964957941,218583.4168132639,0.5442504195056063,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0158048126436198,0.557903596495794,0.0082205121027929,0.5442504195056064,420249.9681938523,0.5579035964957939,218583.41681326384,0.5442504195056064,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price_per_sqft,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0128316732369113,0.5127333313362895,0.0062066305855835,-0.1549575613982445,289.1476198046379,0.5127333313362896,139.85958243276804,-0.1549575613982443,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
mlp,price,none,data/raw/latlong_added.csv,minmax_0_1,24,0.0216331999752406,0.1717149783715335,0.0104507364938521,0.2634159227514079,575226.7864622362,0.171714980904113,277885.08113013627,0.2634159346338324,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,,,
mlp,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,28,0.0210155092594987,0.2183395917443508,0.0100238244371161,0.3223656159113457,558802.3936841099,0.2183395848229112,266533.4956209702,0.3223655963956235,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|city|age|log_sqft_lot|zipcode|city_freq|zipcode_freq|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,,,
dt,price,xyz,data/raw/latlong_added.csv,minmax_0_1,17,0.0149633457473792,0.6037258892795831,0.0125314036402548,-0.059078055423444,397875.3634228137,0.6037258892795831,333210.02279437595,-0.0590780554234438,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|age|was_renovated|has_basement|log_sqft_lot|x|y|z|age_bin,,,
dt,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0158048126436198,0.557903596495794,0.0082205121027929,0.5442504195056064,420249.9681938523,0.5579035964957939,218583.41681326384,0.5442504195056064,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0158048126436198,0.557903596495794,0.0082205121027929,0.5442504195056064,420249.9681938523,0.5579035964957941,218583.41681326387,0.5442504195056064,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price_per_sqft,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0128316732369113,0.5127333313362895,0.0061929873522001,-0.1498855544010513,289.1476198046379,0.5127333313362896,139.55214719915477,-0.1498855544010511,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.01570325949512,0.5448089966892821,0.0086859948640507,0.6877408182827639,417549.6699752428,0.544808996689282,230960.6034351096,0.6877408182827639,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.01570325949512,0.5448089966892822,0.0086859948640507,0.6877408182827639,417549.6699752428,0.544808996689282,230960.6034351096,0.6877408182827639,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price_per_sqft,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0129951632290726,0.5022136732408367,0.0043227479521515,0.3318280095339897,292.83168666189977,0.5022136732408369,97.40836275229589,0.3318280095339897,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0158048126436198,0.557903596495794,0.0082205121027929,0.5442504195056064,420249.9681938523,0.5579035964957941,218583.41681326387,0.5442504195056064,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price_per_sqft,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.0129951632290726,0.5022136732408367,0.0043227479521515,0.3318280095339897,292.83168666189977,0.5022136732408369,97.40836275229589,0.3318280095339897,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
dt,price_per_sqft,xyz,data/raw/latlong_added.csv,minmax_0_1,17,0.0130730650344061,0.4962276482883531,0.0182797042405799,-10.94831787693724,294.5871180210673,0.4962276482883531,411.9129964042555,-10.948317876937244,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|age|was_renovated|has_basement|log_sqft_lot|x|y|z|age_bin,,,
dt,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,18,0.01570325949512,0.5448089966892822,0.0086859948640507,0.6877408182827639,417549.6699752428,0.544808996689282,230960.6034351096,0.6877408182827639,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|city|age|was_renovated|has_basement|log_sqft_lot|zipcode|city_freq|zipcode_freq|age_bin,,,
