"5","10834 31st Ave SW, Seattle, WA, 98146","Match","Exact","10834 31ST AVE SW, SEATTLE, WA, 98146","-122.372136651075,47.505311204468","186622656","R"
"2312","14245 SE 60th St, Bellevue, WA, 98006","Match","Exact","14245 SE 60TH ST, BELLEVUE, WA, 98006","-122.151079928922,47.549252226451","186615277","R"
"6","Cedar to Green River Trail, Maple Valley, WA, 98038","No_Match"
"2311","4100 25th Ave SW, Seattle, WA, 98106","Match","Exact","4100 25TH AVE SW, SEATTLE, WA, 98106","-122.364278337379,47.56647599724","186703992","L"
"7","6521 Fremont Ave N, Seattle, WA, 98103","Match","Exact","6521 FREMONT AVE N, SEATTLE, WA, 98103","-122.350041473239,47.676266689415","186579592","L"
"2310","45506 SE Tanner Rd, North Bend, WA, 98045","Match","Exact","45506 SE TANNER RD, NORTH BEND, WA, 98045","-121.733318107459,47.481628299812","186564108","L"
"8","9908 S 210th Pl, Kent, WA, 98031","Match","Exact","9908 S 210TH PL, KENT, WA, 98031","-122.208381890011,47.413743675793","186633373","L"
"3641","16940 NE 16th Pl, Bellevue, WA, 98008","Match","Exact","16940 NE 16TH PL, BELLEVUE, WA, 98008","-122.113418224003,47.624504239181","186612792","L"
"9","5940 California Ave SW, Seattle, WA, 98136","Match","Exact","5940 CALIFORNIA AVE SW, SEATTLE, WA, 98136","-122.387030093565,47.549547349362","186661564","L"
"3642","21625 4th Ave S, Normandy Park, WA, 98198","Match","Exact","21625 4TH AVE S, NORMANDY PARK, WA, 98198","-122.330521763265,47.407720719684","186663113","L"
"3643","11247 11th Ave SW, Seattle, WA, 98146","Match","Exact","11247 11TH AVE SW, SEATTLE, WA, 98146","-122.348514527655,47.502444314456","186623471","R"
"3644","2052 Boyer Ave E, Seattle, WA, 98112","Match","Exact","2052 BOYER AVE E, SEATTLE, WA, 98112","-122.306889973131,47.637807438861","186587415","R"
"3645","105 NW 178th St, Shoreline, WA, 98177","Match","Exact","105 NW 178TH ST, SHORELINE, WA, 98177","-122.358604855843,47.758158082691","186573590","L"
"3646","16714 NE 158th St, Woodinville, WA, 98072","Match","Exact","16714 NE 158TH ST, WOODINVILLE, WA, 98072","-122.115551371702,47.742406279461","186926224","R"
"2319","4029-4035 252nd Ave SE, Issaquah, WA, 98029","Match","Non_Exact","4035 252ND AVE SE, ISSAQUAH, WA, 98029","-122.005188311958,47.571549217961","186930165","R"
"3647","11626-11630 SE 323rd Pl, Auburn, WA, 98092","Match","Non_Exact","11630 SE 323RD PL, AUBURN, WA, 98092","-122.186551542187,47.31213470813","647796652","L"
"2318","13666 17th Ave SW, Burien, WA, 98166","Match","Exact","13666 17TH AVE SW, BURIEN, WA, 98166","-122.356090722095,47.479314993457","239775592","R"
"3648","15502 SE 18th St, Bellevue, WA, 98007","Match","Exact","15502 SE 18TH ST, BELLEVUE, WA, 98007","-122.13330481286,47.594473614687","186614315","L"
"3660","608 Riverside Dr SE, North Bend, WA, 98045","Match","Exact","608 RIVERSIDE DR SE, NORTH BEND, WA, 98045","-121.782899644323,47.488655675402","186644721","R"
"3661","2905 25th Ave W, Seattle, WA, 98199","Match","Exact","2905 25TH AVE W, SEATTLE, WA, 98199","-122.389052615955,47.64667455257","239785255","L"
"3662","4207 SW Manning St, Seattle, WA, 98116","Match","Exact","4207 SW MANNING ST, SEATTLE, WA, 98116","-122.385817610424,47.571193264045","239769064","L"
"1000","14217 SE 144th St, Renton, WA, 98059","Match","Exact","14217 SE 144TH ST, RENTON, WA, 98059","-122.150618633539,47.473871393553","186636253","R"
"2331","33749 29th Ct SW, Federal Way, WA, 98023","Match","Exact","33749 29TH CT SW, FEDERAL WAY, WA, 98023","-122.371746998972,47.299671341589","186650983","R"
"2330","10415 171st Ave NE, Redmond, WA, 98052","Match","Exact","10415 171ST AVE NE, REDMOND, WA, 98052","-122.111670724478,47.693032639415","186611930","L"
"2328","6729 Shaffer Ave S, Seattle, WA, 98108","Match","Exact","6729 SHAFFER AVE S, SEATTLE, WA, 98108","-122.294849604713,47.541993934188","187044507","R"
"2327","13128 SE Newport Way, Bellevue, WA, 98006","Match","Exact","13128 SE NEWPORT WAY, BELLEVUE, WA, 98006","-122.164606268606,47.570100124102","651948108","L"
"2326","24433 14th Ave S, Des Moines, WA, 98198","Match","Exact","24433 14TH AVE S, DES MOINES, WA, 98198","-122.315625301857,47.382743062162","186628937","R"
"2325","1010 Greenwood Blvd SW, Issaquah, WA, 98027","Match","Exact","1010 GREENWOOD BLVD SW, ISSAQUAH, WA, 98027","-122.046346817657,47.519645808422","239773170","R"
"2324","10025-10037 31st Ave SW, Seattle, WA, 98146","Match","Non_Exact","10037 31ST AVE SW, SEATTLE, WA, 98146","-122.371961212195,47.513165982194","186578283","R"
"2323","25806 136th Ave SE, Kent, WA, 98042","Match","Exact","25806 136TH AVE SE, KENT, WA, 98042","-122.160003611417,47.370142140301","239780088","R"
"2322","4280 E Lake Sammamish Pkwy SE, Sammamish, WA, 98075","Match","Exact","4280 E LAKE SAMMAMISH PKWY SE, SAMMAMISH, WA, 98075","-122.059178265374,47.568788838382","186949020","R"
"2321","5927 35th Ave SW, Seattle, WA, 98126","Match","Exact","5927 35TH AVE SW, SEATTLE, WA, 98126","-122.376434558801,47.549633355865","186578050","R"
"3652","31605-31625 51st Ave S, Auburn, WA, 98001","Match","Non_Exact","31625 51ST AVE S, AUBURN, WA, 98001","-122.270997976638,47.318410790351","239780676","R"
"3653","1705 Douglas Ct, Milton, WA, 98354","Match","Exact","1705 DOUGLAS CT, MILTON, WA, 98354","-122.311341314408,47.259814860365","186651977","L"
"3654","34215 40th Ave S, Auburn, WA, 98001","Match","Exact","34215 40TH AVE S, AUBURN, WA, 98001","-122.283596167962,47.295179653935","647893310","R"
"3655","3108 142nd Pl NE, Bellevue, WA, 98007","Match","Exact","3108 142ND PL NE, BELLEVUE, WA, 98007","-122.150027864262,47.638953543306","650026207","R"
"3656","3505 Monterey Ct NE, Renton, WA, 98056","Match","Exact","3505 MONTEREY CT NE, RENTON, WA, 98056","-122.191920976705,47.523063616842","186957247","L"
"3657","1130 Oak Hill Pl NW, Issaquah, WA, 98027","Tie"
"3658","3510 S Holly St, Seattle, WA, 98118","Match","Exact","3510 S HOLLY ST, SEATTLE, WA, 98118","-122.287586496129,47.542553002386","655672895","L"
"2329","8820 NE 160th Pl, Kenmore, WA, 98028","Match","Exact","8820 NE 160TH PL, KENMORE, WA, 98028","-122.22382996634,47.744583528525","186945355","L"
"3659","6537 36th Ave SW, Seattle, WA, 98126","Match","Exact","6537 36TH AVE SW, SEATTLE, WA, 98126","-122.377885062577,47.544340706465","186661750","R"
"3670","22821 SE 288th St, Black Diamond, WA, 98010","Match","Exact","22821 SE 288TH ST, BLACK DIAMOND, WA, 98010","-122.037237743913,47.343483069577","186641335","R"
"3671","1600-1718 107th Ave SE, Bellevue, WA, 98004","Match","Non_Exact","1718 107TH AVE SE, BELLEVUE, WA, 98004","-122.197738088475,47.595390564341","186607547","L"
