timestamp,model,target,variant,split,metric,value,std
2026-06-08T22:51:52,dt,price,coord_only,test,Adjusted_R2,0.6077787298984488,0.054160869137608376
2026-06-08T22:52:01,rf,price,coord_only,train,RMSE,82333.13593229081,2842.034902616439
2026-06-08T22:52:01,rf,price,coord_only,train,MAE,40722.975746394986,749.8689216842467
2026-06-08T22:52:01,rf,price,coord_only,train,MAPE,8.38180205448432,0.2294051702246719
2026-06-08T22:52:01,rf,price,coord_only,train,R2,0.9433414487977568,0.004272520634941412
2026-06-08T22:52:01,rf,price,coord_only,train,Adjusted_R2,0.9430801738510409,0.004292209763940131
2026-06-08T22:52:01,rf,price,coord_only,test,RMSE,169555.46672907198,16606.05392085154
2026-06-08T22:52:01,rf,price,coord_only,test,MAE,91276.65175721205,4693.086552979115
2026-06-08T22:52:01,rf,price,coord_only,test,MAPE,18.22105259703617,1.1464173443905954
2026-06-08T22:52:01,rf,price,coord_only,test,R2,0.7570781379223177,0.04527497303185961
2026-06-08T22:52:01,rf,price,coord_only,test,Adjusted_R2,0.752530278227097,0.04612220728082252
2026-06-08T22:52:04,mgbdt,price,coord_only,train,RMSE,132928.9335946302,2881.4286851982542
2026-06-08T22:52:04,mgbdt,price,coord_only,train,MAE,81897.24869931416,1145.540122006121
2026-06-08T22:52:04,mgbdt,price,coord_only,train,MAPE,17.465829045392276,0.3599709955101968
2026-06-08T22:52:04,mgbdt,price,coord_only,train,R2,0.8524427615072782,0.007338352159793035
2026-06-08T22:52:04,mgbdt,price,coord_only,train,Adjusted_R2,0.8517623159332679,0.007372159053715099
2026-06-08T22:52:04,mgbdt,price,coord_only,test,RMSE,172623.5404681014,15506.469445126653
2026-06-08T22:52:04,mgbdt,price,coord_only,test,MAE,97426.87080413359,3886.67310621786
2026-06-08T22:52:04,mgbdt,price,coord_only,test,MAPE,19.920854377056266,1.1978084980817867
2026-06-08T22:52:04,mgbdt,price,coord_only,test,R2,0.7483247828690569,0.0438260717104885
2026-06-08T22:52:04,mgbdt,price,coord_only,test,Adjusted_R2,0.7436130215487171,0.044646278298286414
2026-06-08T22:52:38,mlp,price,tgt_only,train,RMSE,174864.79522491185,6043.4004645201885
2026-06-08T22:52:38,mlp,price,tgt_only,train,MAE,108785.38719136683,4713.255708887583
2026-06-08T22:52:38,mlp,price,tgt_only,train,MAPE,23.374663459979935,2.002472769318292
2026-06-08T22:52:38,mlp,price,tgt_only,train,R2,0.7443747610100658,0.020464875151437294
2026-06-08T22:52:38,mlp,price,tgt_only,train,Adjusted_R2,0.7432748947279484,0.020552891831691907
2026-06-08T22:52:38,mlp,price,tgt_only,test,RMSE,181522.6520296457,19696.664718637156
2026-06-08T22:52:38,mlp,price,tgt_only,test,MAE,113232.83089662506,7284.034527490862
2026-06-08T22:52:38,mlp,price,tgt_only,test,MAPE,23.937659714203637,2.1996493791346627
2026-06-08T22:52:38,mlp,price,tgt_only,test,R2,0.7218613598801884,0.051694699518650356
2026-06-08T22:52:38,mlp,price,tgt_only,test,Adjusted_R2,0.7170073687614354,0.05259659549888453
2026-06-08T22:52:41,dt,price,tgt_only,train,RMSE,147932.10707626268,3387.4323726697303
2026-06-08T22:52:41,dt,price,tgt_only,train,MAE,92919.24266335425,1284.0424735027236
2026-06-08T22:52:41,dt,price,tgt_only,train,MAPE,19.76980609662368,0.2898712680723422
2026-06-08T22:52:41,dt,price,tgt_only,train,R2,0.8172509520118545,0.009329390033526473
2026-06-08T22:52:41,dt,price,tgt_only,train,Adjusted_R2,0.8164646460047764,0.009369504023840399
2026-06-08T22:52:41,dt,price,tgt_only,test,RMSE,202965.97821677668,14590.093847792268
2026-06-08T22:52:41,dt,price,tgt_only,test,MAE,112214.28690076822,3843.00046659299
2026-06-08T22:52:41,dt,price,tgt_only,test,MAPE,22.288947764231644,1.1062131305098015
2026-06-08T22:52:41,dt,price,tgt_only,test,R2,0.6512526833501139,0.0601281724902638
2026-06-08T22:52:41,dt,price,tgt_only,test,Adjusted_R2,0.645166418450916,0.06117732086733856
2026-06-08T22:52:48,rf,price,tgt_only,train,RMSE,84336.4117953816,3322.0744604895494
2026-06-08T22:52:48,rf,price,tgt_only,train,MAE,42309.22624310639,818.6128064286739
2026-06-08T22:52:48,rf,price,tgt_only,train,MAPE,8.664940200460222,0.21515081982456258
2026-06-08T22:52:48,rf,price,tgt_only,train,R2,0.9405150797219892,0.0051640284074474085
2026-06-08T22:52:48,rf,price,tgt_only,train,Adjusted_R2,0.9402591373189451,0.005186234547797192
2026-06-08T22:52:48,rf,price,tgt_only,test,RMSE,172598.1053419366,14459.115386661577
2026-06-08T22:52:48,rf,price,tgt_only,test,MAE,92821.0814471877,3985.4108988067637
2026-06-08T22:52:48,rf,price,tgt_only,test,MAPE,18.435118245649953,1.1913846139474886
2026-06-08T22:52:48,rf,price,tgt_only,test,R2,0.7474809369824691,0.047271268975647526
2026-06-08T22:52:48,rf,price,tgt_only,test,Adjusted_R2,0.743074108596673,0.0480956290482922
2026-06-08T22:52:52,mgbdt,price,tgt_only,train,RMSE,130053.55234612599,3343.209673840224
2026-06-08T22:52:52,mgbdt,price,tgt_only,train,MAE,80432.37106838597,703.4904028550999
2026-06-08T22:52:52,mgbdt,price,tgt_only,train,MAPE,17.311897834261565,0.3956577273717131
2026-06-08T22:52:52,mgbdt,price,tgt_only,train,R2,0.8586710097168264,0.009061510896962824
2026-06-08T22:52:52,mgbdt,price,tgt_only,train,Adjusted_R2,0.8580629216362737,0.009100457586119591
2026-06-08T22:52:52,mgbdt,price,tgt_only,test,RMSE,169624.90457379227,12705.346450787687
2026-06-08T22:52:52,mgbdt,price,tgt_only,test,MAE,94958.49496067528,2697.2610283184385
2026-06-08T22:52:52,mgbdt,price,tgt_only,test,MAPE,19.761875152244155,0.8035815551982248
2026-06-08T22:52:52,mgbdt,price,tgt_only,test,R2,0.7567582692051161,0.04065020787634156
2026-06-08T22:52:52,mgbdt,price,tgt_only,test,Adjusted_R2,0.7525133560346939,0.04135883152965524
